===SelfControl-Killer Log File===

SelfControl Version: 3.0.3
System Version: Mac OS X Version 10.15.6 (Build 19G73)Launchd daemons loaded:

PID	Status	Label
block return out proto tcp from any to 31.13.66.174
block return out proto udp from any to 31.13.66.174
block return out proto tcp from any to 2600:1408:4800::cced:8eca
block return out proto udp from any to 2600:1408:4800::cced:8eca
block return out proto tcp from any to 2600:1408:4800::cced:8f62
block return out proto udp from any to 2600:1408:4800::cced:8f62
block return out proto tcp from any to 23.221.227.165
block return out proto udp from any to 23.221.227.165
block return out proto tcp from any to 23.221.227.173
block return out proto udp from any to 23.221.227.173
block return out proto tcp from any to 23.67.105.2
block return out proto udp from any to 23.67.105.2
block return out proto tcp from any to 99.84.181.111
block return out proto udp from any to 99.84.181.111
block return out proto tcp from any to 99.84.181.104
block return out proto udp from any to 99.84.181.104
block return out proto tcp from any to 99.84.181.88
block return out proto udp from any to 99.84.181.88
block return out proto tcp from any to 99.84.181.82
block return out proto udp from any to 99.84.181.82
block return out proto tcp from any to 2a03:2880:f103:83:face:b00c:0:25de
block return out proto udp from any to 2a03:2880:f103:83:face:b00c:0:25de
block return out proto tcp from any to 31.13.66.35
block return out proto udp from any to 31.13.66.35
block return out proto tcp from any to 199.232.65.2
block return out proto udp from any to 199.232.65.2
block return out proto tcp from any to 23.67.105.2
block return out proto udp from any to 23.67.105.2
block return out proto tcp from any to 2001:4998:44:3507::8001
block return out proto udp from any to 2001:4998:44:3507::8001
block return out proto tcp from any to 2001:4998:24:120d::1:0
block return out proto udp from any to 2001:4998:24:120d::1:0
block return out proto tcp from any to 2001:4998:124:1507::f000
block return out proto udp from any to 2001:4998:124:1507::f000
block return out proto tcp from any to 2001:4998:44:3507::8000
block return out proto udp from any to 2001:4998:44:3507::8000
block return out proto tcp from any to 2001:4998:24:120d::1:1
block return out proto udp from any to 2001:4998:24:120d::1:1
block return out proto tcp from any to 2001:4998:124:1507::f001
block return out proto udp from any to 2001:4998:124:1507::f001
block return out proto tcp from any to 74.6.231.20
block return out proto udp from any to 74.6.231.20
block return out proto tcp from any to 98.137.11.163
block return out proto udp from any to 98.137.11.163
block return out proto tcp from any to 74.6.143.25
block return out proto udp from any to 74.6.143.25
block return out proto tcp from any to 74.6.143.26
block return out proto udp from any to 74.6.143.26
block return out proto tcp from any to 74.6.231.21
block return out proto udp from any to 74.6.231.21
block return out proto tcp from any to 98.137.11.164
block return out proto udp from any to 98.137.11.164
block return out proto tcp from any to 2001:4998:24:120d::1:0
block return out proto udp from any to 2001:4998:24:120d::1:0
block return out proto tcp from any to 2001:4998:124:1507::f000
block return out proto udp from any to 2001:4998:124:1507::f000
block return out proto tcp from any to 2001:4998:44:3507::8000
block return out proto udp from any to 2001:4998:44:3507::8000
block return out proto tcp from any to 2001:4998:24:120d::1:1
block return out proto udp from any to 2001:4998:24:120d::1:1
block return out proto tcp from any to 2001:4998:124:1507::f001
block return out proto udp from any to 2001:4998:124:1507::f001
block return out proto tcp from any to 2001:4998:44:3507::8001
block return out proto udp from any to 2001:4998:44:3507::8001
block return out proto tcp from any to 98.137.11.164
block return out proto udp from any to 98.137.11.164
block return out proto tcp from any to 74.6.231.20
block return out proto udp from any to 74.6.231.20
block return out proto tcp from any to 98.137.11.163
